"id","name","sequence","parent","balance_sheet","income_statement"
"es_pyg_normal_49300","A.3) RESULTADO ANTES DE IMPUESTOS (A.1 + A.2)",49300,"es_pyg_normal",,
"es_pyg_normal_41900","19. Impuestos sobre beneficios",41900,"es_pyg_normal_a",,
"es_pyg_normal_49400 ","A.4) RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS (A.3 + 19)",49400,"es_pyg_normal",,
"es_pyg_normal_b","B) OPERACIONES INTERRUMPIDAS",,"es_pyg_normal",,
"es_pyg_normal_42000","20. Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos",42000,"es_pyg_normal_b",,
"es_pyg_normal_49500","A.5) RESULTADO DEL EJERCICIO (A.4 + 20)",49500,"es_pyg_normal",,
"es_eiyg_normal","ESTADO DE INGRESOS Y GASTOS RECONOCIDOS NORMAL (PGCE 2008)",2,"es",,"True"
"es_eiyg_normal_59100","A) RESULTADO DE LA CUENTA DE PÉRDIDAS Y GANANCIAS",59100,"es_eiyg_normal",,
"es_eiyg_normal_59200","B) Total ingresos y gastos imputados directamente en el patrimonio neto (I + II + III + IV + V + VI + VII)",59200,"es_eiyg_normal",,
"es_eiyg_normal_50010","I. Por valoración de instrumentos financieros",50010,"es_eiyg_normal_59200",,
"es_eiyg_normal_50011","1. Activos financieros disponibles para la venta",50011,"es_eiyg_normal_50010",,
"es_eiyg_normal_50012","2. Otros ingresos/gastos",50012,"es_eiyg_normal_50010",,
"es_eiyg_normal_50020","II. Por coberturas de flujos de efectivo",50020,"es_eiyg_normal_59200",,
"es_eiyg_normal_50030","III. Subvenciones, donaciones y legados recibidos",50030,"es_eiyg_normal_59200",,
"es_eiyg_normal_50040","IV. Por ganancias y pérdidas actuariales y otros ajustes",50040,"es_eiyg_normal_59200",,
"es_eiyg_normal_50050","V. Por activos no corrientes y pasivos vinculados, mantenidos para la venta",50050,"es_eiyg_normal_59200",,
"es_eiyg_normal_50060","VI. Diferencias de conversión",50060,"es_eiyg_normal_59200",,
"es_eiyg_normal_50070","VII. Efecto impositivo",50070,"es_eiyg_normal_59200",,
"es_eiyg_normal_59300","C) Total transferencias a la cuenta de pérdidas y ganancias (VIII + IX + X + XI + XII + XIII)",59300,"es_eiyg_normal",,
"es_eiyg_normal_50080","VIII. Por valoración de instrumentos financieros",50080,"es_eiyg_normal_59300",,
"es_eiyg_normal_50081","1. Activos financieros disponibles para la venta",50081,"es_eiyg_normal_50080",,
"es_eiyg_normal_50082","2. Otros ingresos/gastos",50082,"es_eiyg_normal_50080",,
"es_eiyg_normal_50090","IX. Por coberturas de flujos de efectivo",50090,"es_eiyg_normal_59300",,
"es_eiyg_normal_50100","X. Subvenciones, donaciones y legados recibidos",50100,"es_eiyg_normal_59300",,
"es_eiyg_normal_50110","XI. Por activos no corrientes y pasivos vinculados, mantenidos para la venta",50110,"es_eiyg_normal_59300",,
"es_eiyg_normal_50120","XII. Diferencias de conversión",50120,"es_eiyg_normal_59300",,
"es_eiyg_normal_50130","XIII. Efecto impositivo",50130,"es_eiyg_normal_59300",,
"es_eiyg_normal_","TOTAL DE INGRESOS Y GASTOS RECONOCIDOS (A + B + C)",59400,"es_eiyg_normal",,
